"服务器","玩家id","账号","等级","金额","代理","订单号","充值时间"
"台湾25服","24003573","110864175","247","150","taiwanios","016002500240035731522511819740	","2018-03-31 23:56:59"
"台湾30服","29000498","11790426","235","150","taiwanios","016003000290004981522511774048	","2018-03-31 23:56:14"
"台湾29服","28000588","508120706","246","150","taiwanios","016002900280005881522511667552	","2018-03-31 23:54:27"
"台湾30服","29000422","508127684","230","150","taiwanios","016003000290004221522511532138	","2018-03-31 23:52:12"
"台湾16服","15000268","1817294","308","150","taiwanios","016001600150002681522511517839	","2018-03-31 23:51:57"
"台湾26服","25002539","23361412","267","150","taiwanios","016002600250025391522511475478	","2018-03-31 23:51:15"
"台湾32服","31002976","107970259","25","30","taiwanios","016003200310029761522511450144	","2018-03-31 23:50:50"
"台湾31服","30001548","508138088","209","150","taiwanios","016003100300015481522511378449	","2018-03-31 23:49:38"
"台湾32服","31002890","19208676","71","590","taiwanios","016003200310028901522511351989	","2018-03-31 23:49:11"
"台湾23服","22000441","503338440","315","100","taiwanios","180331234645413046	","2018-03-31 23:48:19"
"台湾31服","30004512","5086771","130","590","taiwanios","016003100300045121522511273467	","2018-03-31 23:47:53"
"台湾31服","30002995","106610931","207","2000","taiwanios","180331234622962610	","2018-03-31 23:47:21"
"台湾12服","11001201","109523525","331","150","taiwanios","016001200110012011522511231314	","2018-03-31 23:47:11"
"台湾23服","22000441","503338440","315","100","taiwanios","180331234514300772	","2018-03-31 23:46:32"
"台湾17服","16000633","1092100","323","150","taiwanios","180331234159907244	","2018-03-31 23:44:03"
"台湾31服","30002276","505445170","198","30","taiwanios","016003100300022761522511034639	","2018-03-31 23:43:54"
"台湾22服","21001926","503964536","297","150","taiwanios","016002200210019261522510954919	","2018-03-31 23:42:34"
"台湾32服","31002912","106601135","55","30","taiwanios","016003200310029121522510928684	","2018-03-31 23:42:08"
"台湾17服","16005417","507987980","270","150","taiwanios","180331234044242875	","2018-03-31 23:41:35"
"台湾29服","28000843","13262915","252","150","taiwanios","180331233507116732	","2018-03-31 23:36:47"
"台湾12服","11005272","5086313","310","1490","taiwanios","016001200110052721522510520935	","2018-03-31 23:35:20"
"台湾21服","20002053","508040526","287","2990","taiwanios","016002100200020531522510463076	","2018-03-31 23:34:23"
"台湾32服","31002233","102757295","94","150","taiwanios","016003200310022331522510433124	","2018-03-31 23:33:53"
"台湾32服","31002233","102757295","93","150","taiwanios","016003200310022331522510321764	","2018-03-31 23:32:01"
"台湾32服","31002853","506875438","73","890","taiwanios","016003200310028531522510116878	","2018-03-31 23:28:36"
